date,route,cargo_type,vessel_class,vessel_dwt,distance_nm,baltic_style_index,bunker_fuel_price_usd_ton,port_congestion_days,market_event,charter_rate_usd_per_day,freight_rate_usd_per_tonne
2022-01-03,"Abbot Point, Australia - Ennore",Coal,Supramax,51168,5277.3,1200.0,632.8,2.3,None,1321.0,27.52
2022-01-03,"Abbot Point, Australia - Haldia",Coal,Handysize,39034,5103.7,1000.0,645.2,1.2,None,1027.0,29.1
2022-01-03,"Abbot Point, Australia - Kolkata",Coal,Panamax,65642,5114.5,1500.0,642.8,0.8,None,1621.0,30.08
2022-01-03,"Abbot Point, Australia - Paradip",Coal,Panamax,80347,5127.9,1500.0,675.3,0.6,None,1602.0,28.52
2022-01-03,"Dampier, Australia - Visakhapatnam",Iron Ore,Panamax,86306,3570.3,1500.0,672.1,4.6,None,1599.0,20.4
2022-01-03,"Durban, South Africa - Ennore",Coal,Handysize,37914,4543.3,1000.0,657.9,2.0,None,923.0,24.76
2022-01-03,"Durban, South Africa - Paradip",Coal,Supramax,57283,5193.0,1200.0,661.3,1.6,None,1167.0,29.84
2022-01-03,"Nacala, Mozambique - Ennore",Coking Coal,Panamax,73090,3410.6,1500.0,661.3,2.1,None,1530.0,19.14
2022-01-03,"Newcastle, Australia - Ennore",Thermal Coal,Handysize,35440,5823.9,1000.0,644.5,2.5,None,1002.0,31.46
2022-01-03,"Newcastle, Australia - Gangavaram",Thermal Coal,Supramax,48055,5850.9,1200.0,647.9,2.9,None,1260.0,31.93
2022-01-03,"Newcastle, Australia - Haldia",Thermal Coal,Supramax,60697,5795.2,1200.0,663.4,1.4,None,1161.0,31.53
2022-01-03,"Newcastle, Australia - Visakhapatnam",Thermal Coal,Panamax,74070,5849.9,1500.0,646.6,2.3,None,1548.0,35.94
2022-01-03,"Norfolk, USA - Gangavaram",Coking Coal,Handysize,37959,8662.0,1000.0,652.3,2.7,None,1060.0,51.43
2022-01-03,"Norfolk, USA - Haldia",Coking Coal,Panamax,83713,8458.2,1500.0,636.2,2.4,None,1454.0,46.0
2022-01-03,"Norfolk, USA - Paradip",Coking Coal,Supramax,54977,8548.6,1200.0,659.3,3.1,None,1149.0,44.88
2022-01-03,"Ponta da Madeira, Brazil - Kolkata",Iron Ore,Panamax,83139,9207.4,1500.0,642.5,0.0,None,1657.0,52.87
2022-01-03,"Richards Bay, South Africa - Paradip",Coking Coal,Handysize,33378,5101.3,1000.0,659.5,3.0,None,1002.0,28.58
2022-01-03,"Samarinda, Indonesia - Ennore",Thermal Coal,Handysize,29249,2762.6,1000.0,660.6,2.6,None,945.0,14.51
2022-01-03,"Samarinda, Indonesia - Paradip",Thermal Coal,Handysize,38268,2577.8,1000.0,654.0,1.5,None,972.0,15.05
2022-01-03,"Samarinda, Indonesia - Visakhapatnam",Thermal Coal,Panamax,67399,2685.9,1500.0,668.8,1.4,None,1608.0,15.21
2022-01-03,"Taboneo, Indonesia - Haldia",Thermal Coal,Supramax,59455,2575.7,1200.0,657.4,3.1,None,1259.0,13.64
2022-01-03,"Tubarao, Brazil - Gangavaram",Iron Ore,Panamax,84881,8973.4,1500.0,641.6,2.2,None,1780.0,53.52
2022-01-03,"Tubarao, Brazil - Paradip",Iron Ore,Panamax,83477,9234.1,1500.0,651.4,2.7,None,1501.0,48.07
2022-01-03,"Vale do Rio Doce, Brazil - Haldia",Iron Ore,Capesize,171406,9494.8,1800.0,653.6,4.8,None,1880.0,49.71
2022-01-10,"Durban, South Africa - Gangavaram",Coal,Panamax,85893,4895.8,1466.1,648.0,0.0,None,1284.0,26.65
2022-01-10,"Gladstone, Australia - Ennore",Coal,Panamax,74110,5565.0,1466.1,650.5,3.1,None,1444.0,29.8
2022-01-10,"Gladstone, Australia - Visakhapatnam",Coal,Supramax,48138,5537.2,1180.0,663.3,2.9,None,1081.0,29.58
2022-01-10,"Hay Point, Australia - Haldia",Coking Coal,Handysize,29203,5223.9,1035.2,635.4,2.2,None,984.0,32.02
2022-01-10,"Hay Point, Australia - Kolkata",Coking Coal,Supramax,54969,5235.2,1180.0,638.1,1.9,None,1209.0,28.2
2022-01-10,"Ponta da Madeira, Brazil - Visakhapatnam",Iron Ore,Capesize,175705,8964.6,2014.9,676.6,2.5,None,1985.0,46.61
2022-01-10,"Saldanha Bay, South Africa - Gangavaram",Iron Ore,Panamax,69952,5685.5,1466.1,641.5,0.7,None,1477.0,30.26
2022-01-10,"Samarinda, Indonesia - Gangavaram",Thermal Coal,Panamax,81516,2689.0,1466.1,673.1,2.2,None,1445.0,14.26
2022-01-10,"Samarinda, Indonesia - Haldia",Thermal Coal,Handysize,32966,2560.1,1035.2,645.1,1.2,None,913.0,14.43
2022-01-10,"Taboneo, Indonesia - Haldia",Thermal Coal,Handysize,33244,2575.7,1035.2,661.3,3.1,None,1034.0,15.55
2022-01-10,"Tubarao, Brazil - Gangavaram",Iron Ore,Capesize,163776,8973.4,2014.9,642.4,3.7,None,1839.0,50.47
2022-01-10,"Vale do Rio Doce, Brazil - Ennore",Iron Ore,Capesize,185551,8858.1,2014.9,644.8,1.8,None,2160.0,46.11
2022-01-17,"Abbot Point, Australia - Gangavaram",Coal,Supramax,61887,5235.8,1143.7,626.7,2.9,None,1049.0,25.72
2022-01-17,"Dampier, Australia - Haldia",Iron Ore,Panamax,84837,3608.6,1457.6,639.5,2.0,None,1693.0,19.36
2022-01-17,"Gladstone, Australia - Gangavaram",Coal,Handysize,36279,5539.5,1075.6,641.6,0.6,None,985.0,30.54
2022-01-17,"Gladstone, Australia - Visakhapatnam",Coal,Supramax,54793,5537.2,1143.7,624.5,3.5,None,1303.0,30.39
2022-01-17,"Nacala, Mozambique - Haldia",Coking Coal,Panamax,71273,4191.3,1457.6,640.6,2.9,None,1444.0,22.06
2022-01-17,"Nacala, Mozambique - Paradip",Coking Coal,Panamax,70802,4041.9,1457.6,642.9,0.0,None,1448.0,21.99
2022-01-17,"Newcastle, Australia - Ennore",Thermal Coal,Supramax,58114,5823.9,1143.7,636.5,3.3,None,1214.0,28.75
2022-01-17,"Norfolk, USA - Gangavaram",Coking Coal,Panamax,74221,8662.0,1457.6,647.4,2.1,None,1572.0,46.34
2022-01-17,"Norfolk, USA - Paradip",Coking Coal,Handysize,32413,8548.6,1075.6,638.2,1.3,None,1060.0,48.46
