vessel_id,vessel_type,dwt,engine_power,vessel_age,draft,speed,distance_nm,heading,wind_speed,wind_direction,wave_height,wave_period,wave_direction,current_speed,current_direction,fuel_price,fuel_consumed_tpd,charter_rate_usd_day,candidate_id
V047,Bulk Carrier,34810.6,10234.1,19,11.01,17.93,3051.1,139.7,10.47,323.6,2.28,9.64,329.0,1.31,5.6,581.6,104.74,15973.21,C0001
V012,General Cargo,63352.1,9939.6,25,8.23,19.81,1679.4,286.5,11.08,335.2,3.68,11.83,77.7,1.61,75.8,647.01,142.62,13102.66,C0002
V032,Tanker,89835.7,23125.1,5,12.82,19.32,3906.8,110.1,23.49,346.0,0.88,8.65,15.7,2.8,186.7,621.47,138.99,25432.44,C0003
V042,Bulk Carrier,78578.0,9990.9,8,13.43,19.34,446.9,26.2,1.1,4.7,0.53,11.17,109.9,0.32,193.9,551.07,129.17,20878.99,C0004
V031,Container,84524.9,10439.0,7,13.97,14.02,3335.9,335.8,25.43,61.8,2.59,6.85,250.5,2.59,91.6,560.79,62.68,16953.7,C0005
V022,Container,72702.7,20188.0,14,12.37,14.69,4065.1,142.0,29.25,235.4,3.56,4.77,342.4,0.48,26.0,775.49,71.29,18906.83,C0006
V017,Container,75382.1,13994.8,24,12.03,17.06,3396.9,285.4,14.53,9.2,2.48,8.55,27.7,1.45,268.1,757.48,103.48,18449.25,C0007
V020,Ro-Ro,87935.7,20534.2,23,7.72,19.22,2536.4,100.5,26.77,22.9,3.55,9.08,10.3,0.66,272.9,559.71,153.2,21110.72,C0008
V020,Tanker,39973.4,6307.3,3,8.69,11.42,4756.5,232.7,6.11,79.6,3.19,6.82,318.3,1.81,359.2,762.7,32.41,16174.24,C0009
V043,Tanker,59154.0,14751.4,18,9.73,13.04,1569.7,314.4,11.28,184.5,4.18,12.0,269.3,1.68,324.0,562.76,51.64,19683.36,C0010
V008,Container,37696.8,5672.3,16,12.19,11.39,193.9,15.0,34.1,196.5,3.97,4.81,357.2,1.14,333.4,687.96,40.01,13395.27,C0011
V047,General Cargo,99013.4,6253.1,23,13.32,16.12,2216.7,299.0,34.52,12.3,2.66,6.45,142.8,2.59,287.4,524.38,82.14,17553.8,C0012
V034,Ro-Ro,95524.7,23128.7,19,7.51,13.06,261.8,205.7,17.94,61.3,2.66,12.23,149.8,1.98,221.6,764.11,58.36,21375.52,C0013
V049,Container,23154.1,7784.9,19,13.38,13.26,4774.3,218.7,32.7,179.9,1.02,8.81,62.0,2.16,46.3,515.45,54.3,13084.16,C0014
V023,Container,76446.0,15648.4,18,11.56,10.71,1128.6,188.3,18.3,213.8,3.18,11.76,41.7,0.45,224.0,666.48,38.97,17440.67,C0015
V038,Container,94019.9,13221.9,20,10.89,13.5,3965.7,314.8,10.21,53.4,3.61,10.24,208.3,2.65,20.1,733.91,55.48,18345.86,C0016
V028,Container,34446.0,11946.9,16,7.6,18.62,3895.4,15.6,9.34,143.6,2.96,14.46,131.1,0.5,318.7,535.05,130.99,13570.82,C0017
V013,Bulk Carrier,65435.6,22996.7,8,6.44,12.33,1166.9,94.0,32.53,325.6,2.09,10.58,28.9,0.67,173.5,621.34,42.82,16979.18,C0018
V029,Bulk Carrier,93239.1,5436.5,1,10.55,16.95,3144.0,315.3,6.04,359.6,4.39,4.16,319.3,0.38,251.1,512.59,92.52,23166.45,C0019
V008,Container,22715.7,18275.8,17,11.21,16.3,335.6,270.8,20.29,355.4,0.63,7.88,71.4,1.32,18.8,704.83,87.85,12569.25,C0020
V011,Tanker,75793.6,24267.9,12,7.69,18.63,2469.5,6.4,19.44,317.4,5.5,5.57,269.5,2.66,192.3,592.23,139.04,23102.49,C0021
V047,Container,43787.9,16203.4,21,10.45,11.32,171.8,186.1,25.89,142.1,0.32,14.17,101.6,0.76,108.5,667.82,42.69,13944.17,C0022
V045,Container,93951.7,23736.4,11,12.85,19.78,4613.6,190.6,17.47,247.2,5.78,5.14,292.6,1.12,102.6,779.82,159.62,21223.65,C0023
V018,Bulk Carrier,97684.7,6045.2,5,12.68,15.83,4882.8,144.3,9.53,150.0,2.88,8.26,42.6,2.54,140.3,591.76,76.55,23992.73,C0024
V050,Bulk Carrier,95541.3,13375.9,12,13.42,19.95,1189.2,107.1,5.93,233.5,2.59,6.49,272.2,1.85,0.2,514.59,141.08,23226.76,C0025
V025,Tanker,57937.1,10203.2,17,8.93,19.12,1119.7,245.4,21.73,111.4,1.69,13.31,35.3,2.25,168.0,702.69,132.2,18523.11,C0026
V049,Container,88963.4,19616.4,6,8.54,12.22,3793.2,74.8,25.16,218.2,0.26,7.39,160.9,0.64,175.2,736.05,46.75,18771.06,C0027
V022,Bulk Carrier,87564.0,24625.9,1,12.0,10.56,1341.6,287.6,19.93,188.6,1.79,14.91,264.2,2.15,310.7,787.36,36.77,19175.67,C0028
V045,Bulk Carrier,45528.0,10130.6,5,9.45,12.56,4485.9,289.1,25.84,8.8,0.83,4.42,62.4,0.68,161.5,547.34,40.28,15223.05,C0029
V035,Container,86313.2,18083.5,25,6.7,15.28,2912.3,149.5,4.95,284.7,4.03,5.41,102.8,2.96,130.9,617.64,80.42,19312.87,C0030
V029,Tanker,22960.6,8962.0,14,8.26,11.72,1818.8,102.1,30.89,4.3,2.05,6.47,311.3,1.68,358.1,753.24,36.21,16090.07,C0031
V021,Container,67701.6,16306.6,5,9.35,11.67,4180.2,102.2,20.38,105.5,4.65,12.92,318.6,2.09,205.6,742.06,46.18,18329.86,C0032
V007,Container,38400.7,14278.6,22,8.34,14.63,2517.7,173.6,4.44,2.1,1.4,13.66,16.2,0.36,170.1,687.44,65.63,13339.79,C0033
V012,General Cargo,29645.4,24440.1,24,8.66,10.33,4567.0,259.0,16.17,135.4,5.42,4.79,60.5,0.75,178.5,580.81,35.75,10243.24,C0034
V036,General Cargo,26156.3,17170.5,1,8.35,11.22,4647.3,129.2,29.57,22.7,3.23,4.36,42.3,0.42,291.3,585.21,33.97,10168.81,C0035
V024,Ro-Ro,75703.1,11990.1,18,6.33,14.16,910.6,219.6,31.41,328.9,0.86,12.19,64.7,1.17,122.6,537.2,64.17,17504.48,C0036
V032,Container,47190.0,7281.9,16,11.1,10.63,111.4,137.7,9.26,149.6,2.52,5.47,349.3,0.85,140.1,776.56,32.87,13615.24,C0037
V027,Container,77981.3,8024.9,9,10.78,13.97,4921.3,109.6,24.89,165.4,1.4,5.46,198.6,2.2,272.1,551.88,61.66,17707.96,C0038
V032,Tanker,25228.5,9506.3,19,11.23,14.74,4540.1,8.9,3.5,125.9,1.36,4.25,168.5,0.33,26.3,671.87,64.39,14770.41,C0039
V032,Bulk Carrier,45223.2,10019.3,22,7.54,14.51,371.7,1.4,1.17,225.9,3.14,4.55,354.4,2.26,311.5,675.31,64.97,16873.62,C0040
V032,Container,63159.3,22012.3,5,8.37,18.69,4181.9,81.8,19.61,282.4,4.1,6.9,200.5,0.14,154.9,610.88,132.42,16101.6,C0041
V026,Bulk Carrier,83257.9,16224.5,2,10.96,15.3,2343.2,146.3,24.32,233.3,5.49,4.72,238.0,0.61,209.3,605.76,73.84,21986.22,C0042
V011,Container,45500.2,15467.8,15,10.8,14.68,1368.9,306.5,27.85,269.4,3.11,8.06,119.8,2.38,272.7,700.58,71.05,15116.04,C0043
